iter	Passed	Remaining
618	12866	7919
619	12884	7896
620	12902	7874
621	12921	7852
622	12942	7832
623	12963	7811
624	12979	7787
625	12998	7765
626	13018	7744
627	13088	7753
628	13108	7731
629	13132	7712
630	13153	7692
631	13196	7684
632	13216	7662
633	13235	7640
634	13255	7619
635	13269	7594
636	13286	7571
637	13309	7551
638	13324	7527
639	13337	7502
640	13362	7483
641	13382	7462
642	13400	7439
643	13421	7419
644	13439	7397
645	13456	7374
646	13476	7352
647	13494	7330
648	13513	7308
649	13532	7286
650	13553	7265
651	13565	7240
652	13582	7217
653	13601	7195
654	13614	7170
655	13630	7147
656	13645	7123
657	13667	7103
658	13682	7079
659	13696	7055
660	13709	7031
661	13727	7009
662	13745	6986
663	13758	6962
664	13777	6940
665	13794	6917
666	13809	6894
667	13825	6871
668	13853	6854
669	13873	6833
670	13891	6811
671	13909	6789
672	13927	6767
673	13951	6748
674	13967	6725
675	13989	6704
676	14012	6685
677	14030	6663
678	14048	6641
679	14070	6621
680	14083	6597
681	14096	6572
682	14125	6556
683	14142	6533
684	14157	6510
685	14172	6487
686	14188	6464
687	14209	6443
688	14224	6420
689	14240	6397
690	14265	6379
691	14281	6356
692	14293	6332
693	14308	6309
694	14327	6287
695	14345	6265
696	14361	6243
697	14379	6221
698	14394	6198
699	14416	6178
700	14433	6156
701	14452	6135
702	14468	6112
703	14491	6093
704	14507	6070
705	14527	6049
706	14551	6030
707	14567	6008
708	14589	5987
709	14609	5967
710	14628	5946
711	14651	5926
712	14721	5925
713	14756	5910
714	14800	5899
715	14821	5879
716	14839	5857
717	14855	5834
718	14876	5814
719	14899	5794
720	14913	5770
721	14933	5749
722	14949	5727
723	14965	5705
724	14990	5685
725	15011	5665
726	15032	5644
727	15051	5623
728	15074	5603
729	15093	5582
730	15113	5561
731	15135	5541
732	15159	5522
733	15219	5515
734	15245	5496
735	15276	5479
736	15307	5462
737	15328	5441
738	15369	5428
739	15394	5408
740	15410	5386
741	15424	5363
742	15440	5340
743	15459	5319
744	15475	5297
745	15489	5273
746	15507	5252
747	15522	5229
748	15536	5206
749	15549	5183
750	15571	5162
751	15586	5140
752	15604	5118
753	15626	5098
754	15642	5075
755	15659	5054
756	15678	5032
757	15696	5011
758	15714	4989
759	15732	4968
760	15748	4946
761	15763	4923
762	15784	4902
763	15806	4882
764	15820	4860
765	15841	4839
766	15861	4818
767	15884	4798
768	15905	4777
769	15920	4755
770	15934	4732
771	15953	4711
772	15969	4689
773	15983	4666
774	16001	4645
775	16017	4623
776	16030	4600
777	16044	4578
778	16064	4557
779	16082	4536
780	16103	4515
781	16119	4493
782	16149	4475
783	16170	4455
784	16227	4444
785	16244	4422
786	16261	4401
787	16277	4379
788	16295	4357
789	16316	4337
790	16331	4315
791	16345	4292
792	16364	4271
793	16383	4250
794	16397	4228
795	16412	4206
796	16443	4188
797	16459	4166
798	16476	4144
799	16494	4123
800	16509	4101
801	16521	4078
802	16538	4057
803	16551	4034
804	16568	4013
805	16585	3991
806	16599	3969
807	16613	3947
808	16627	3925
809	16639	3903
810	16656	3881
811	16671	3859
812	16687	3838
813	16704	3816
814	16721	3795
815	16735	3773
816	16746	3751
817	16763	3729
818	16774	3707
819	16785	3684
820	16800	3662
821	16817	3641
822	16834	3620
823	16853	3599
824	16868	3578
825	16884	3556
826	16901	3535
827	16915	3513
828	16932	3492
829	16950	3471
830	16963	3449
831	16979	3428
